Aggregation analysis,PioViewer 1.10.24.2
File, D:\Pio Solver\Analysis\3BP[100BB] [(Zeros)SB17%vsBU18%(to BB)][95 flops]\2s3dTc.cfr
Action Line,Root
Flop,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 2346 Freq,BET 2346 EV,BET 1241 Freq,BET 1241 EV,BET 578 Freq,BET 578 EV,CHECK Freq,CHECK EV
Jc 9d 7s,100,53.97,763.69,83.2394,46.03,791.818,101.186,8.65,938.68,7.01,907.79,39.21,846.73,45.13,635.60
Ks Qs 8d,100,57.38,934.002,95.7528,42.62,628.131,86.6902,10.39,1096.43,26.24,1098.80,16.50,1000.12,46.88,782.51
8s 8d 7c,100,50.83,683.905,79.1394,49.17,870.899,104.197,0.60,865.56,29.55,861.99,2.71,847.59,67.14,597.28
Ac 9d 8s,100,58.54,927.867,93.2325,41.46,632.71,89.7738,10.63,1107.16,2.40,1022.10,70.88,927.61,16.10,796.56
Ac Jd 8s,100,63.78,1013.98,93.5193,36.22,548.624,89.0985,1.16,1056.72,2.48,1065.10,94.24,1014.25,2.13,919.49
Kc 9s 9d,100,56.45,903.162,94.1143,43.55,647.663,87.48,0.75,1064.64,13.31,1024.45,68.68,917.35,17.25,745.99
As Qs 9s,100,60.53,859.503,83.5236,39.47,706.057,105.233,0.25,924.13,0.99,982.83,10.01,972.26,88.75,845.23
As Ad 2s,100,60.45,1004.83,97.7755,39.55,555.146,82.5729,0.36,1060.91,1.32,1056.33,94.68,1008.67,3.63,880.15
As Ad 5s,100,60.66,1043.66,101.211,39.34,518.75,77.5616,0.33,1135.33,1.25,1097.49,97.03,1044.27,1.40,932.18
Js Jd 9s,100,58.35,915.079,92.252,41.65,637.878,90.0872,0.39,942.75,2.05,967.49,80.71,947.57,16.85,752.41
Ks Kd 7c,100,54.30,854.574,92.5825,45.70,696.043,89.5856,0.49,969.23,8.97,999.96,64.09,926.41,26.45,629.08
Ac Kd Qs,100,66.18,1151.46,102.35,33.82,414.7,72.1241,1.96,1250.44,28.52,1262.89,67.13,1108.19,2.39,956.32
Qs Qd 2s,100,58.84,898.939,89.8692,41.16,656.34,93.7998,0.20,945.50,1.14,939.30,90.20,910.45,8.46,769.57
Ac Kd Ts,100,67.23,1273.2,111.393,32.77,298.286,53.5509,1.72,1257.83,66.03,1307.36,31.36,1208.51,0.89,1047.79
Ks Qd Ts,100,61.38,952.507,91.2878,38.62,613.997,93.5132,0.38,1147.64,0.99,1061.71,54.21,1018.34,44.43,868.12
  ,100,55.44,842.17,89.3491,44.56,716.239,94.5607,5.83,1019.61,14.89,991.65,35.96,946.02,43.31,680.66
